neighborhood,zip,building_class,address,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,06,12,C1206,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1206""",RIGHT,2,1,1960,"1,150,000.00",5/25/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J,04,14,J1404,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J1404""",RIGHT,2,1,1960,"1,125,000.00",6/24/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,03,14,L1403,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1403""",MIDDLE,1,1,1960,"685,000.00",4/22/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,07,17,C1707,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1707""",RIGHT,3,2.5,1960,"2,480,000.00",5/3/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A,02,20,A2002,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A2002""",LEFT,1,1,1960,"850,000.00",5/6/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F,06,8,F806,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F806""",LEFT,2,1,1960,"1,125,000.00",8/1/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E,02,3,E302,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E302""",MIDDLE,studio,1,1960,"440,000.00",5/24/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M,05,12,M1205,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M1205""",LEFT,2,1,1960,"1,125,000.00",3/10/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M,02,10,M1002,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M1002""",LEFT,1,1,1960,"450,000.00",6/3/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M,03,6,M603,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M603""",LEFT,1,1,1960,"857,000.00",6/4/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M,02,6,M602,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M602""",LEFT,1,1,1960,"442,000.00",6/9/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,02,3,C302,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C302""",RIGHT,1,1,1960,"640,000.00",6/16/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H,05,16,H1605,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1605""",MIDDLE,1,1,1960,"765,000.00",6/17/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,07,5,L507,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L507""",MIDDLE,1,1,1960,"735,000.00",6/22/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,01,4,C401,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C401""",RIGHT,1,1,1960,"739,000.00",6/23/2021
