neighborhood,zip,building_class,address,unit,url,floor,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A104,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A104""",1,LEFT,2,1,1960,"950,000.00",4/19/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E1302,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E1302""",13,MIDDLE,studio,1,1960,"495,000.00",12/29/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F307,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F307""",3,LEFT,2,1,1960,"975,000.00",4/7/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C807,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C807""",8,RIGHT,2,1,1960,"1,050,000.00",4/12/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K903,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K903""",9,RIGHT,1,1,1960,"750,000.00",1/21/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E505,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E505""",5,MIDDLE,1,1,1960,"575,000.00",1/27/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J706,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J706""",7,RIGHT,2,1,1960,"1,050,000.00",3/26/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 E. BROADWAY,H1803,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+E.+BROADWAY""+""H1803""",18,MIDDLE,1,1,1960,"830,000.00",2/8/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D1302,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D1302""",13,RIGHT,1,1,1960,"685,000.00",2/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D903,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D903""",9,RIGHT,1,1,1960,"769,000.00",2/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D1104,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D1104""",11,RIGHT,2,1,1960,"1,040,000.00",11/10/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E2004,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E2004""",20,MIDDLE,1,1,1960,"700,000.00",3/9/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F1307,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F1307""",13,LEFT,2,1,1960,"1,040,000.00",2/13/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A1903,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A1903""",19,LEFT,1,1,1960,"835,000.00",3/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H1203,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1203""",12,MIDDLE,1,1,1960,"738,000.00",3/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A405,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A405""",4,LEFT,2,1,1960,"1,050,000.00",4/4/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C904,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C904""",9,RIGHT,2,1,1960,"1,010,000.00",8/25/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A1904,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A1904""",19,LEFT,2,1,1960,"999,999.00",1/28/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K203,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K203""",2,RIGHT,1,1,1960,"797,500.00",3/22/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,G1307,"https://www.google.com/search?q=site%3Astreeteasy.com+""212+EAST+BROADWAY""+""G1307""",13,LEFT,2,1,1960,"999,999.00",9/14/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A105,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A105""",1,LEFT,2,1,1960,"930,000.00",3/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C2001,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C2001""",20,RIGHT,3,2,1960,"1,350,000.00",4/8/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A107,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A107""",1,LEFT,2,1,1960,"1,170,000.00",12/22/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H1004,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1004""",10,MIDDLE,1,1,1960,"700,000.00",4/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L1802,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1802""",18,MIDDLE,3,2,1960,"1,860,000.00",4/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F606,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F606""",6,LEFT,2,1,1960,"999,000.00",3/6/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D1002,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D1002""",10,RIGHT,1,1,1960,"645,000.00",4/29/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B405,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B405""",4,MIDDLE,1,1,1960,"625,000.00",5/2/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E1007,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E1007""",10,MIDDLE,1,1,1960,"810,000.00",5/4/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C202,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C202""",2,RIGHT,2,2,1960,"975,000.00",10/5/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A606,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A606""",6,LEFT,2,1,1960,"999,000.00",10/12/2021
