neighborhood,zip,building_class,address,building,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,07,17,E1707,https://streeteasy.com/building/413-417-grand-st-building-2/e1707,MIDDLE,1,1,1960,"787,000.00",11/17/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,03,16,L1603,https://streeteasy.com/building/383-387-grand-st-building-4/l1603,MIDDLE,1,1,1960,"803,000.00",12/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,04,20,A2004,https://streeteasy.com/building/264-268-east-broadway-building-1/a2004,LEFT,2,1,1960,"985,000.00",1/12/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,05,9,K905,https://streeteasy.com/building/383-387-grand-st-building-4/k905,RIGHT,2,1,1960,"975,000.00",1/3/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,05,15,H1505,https://streeteasy.com/building/208-212-east-broadway-building-3/h1505,MIDDLE,1,1,1960,"600,000.00",1/30/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,3,J,06,9,J906,https://streeteasy.com/building/208-212-east-broadway-building-3/j906907,RIGHT,4,2,1960,"2,175,000.00",1/31/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,01,1,F101,https://streeteasy.com/building/413-417-grand-st-building-2/f101,LEFT,3,1.5,1960,"1,085,000.00",2/1/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,03,1,F103,https://streeteasy.com/building/413-417-grand-st-building-2/f103,LEFT,1,1,1960,"735,000.00",2/10/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,08,6,E608,https://streeteasy.com/building/413-417-grand-st-building-2/e608,MIDDLE,1,1,1960,"730,000.00",2/28/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,07,4,C407,https://streeteasy.com/building/264-268-east-broadway-building-1/c407,RIGHT,2,1,1960,"999,900.00",8/23/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,3,G,01,4,G401,https://streeteasy.com/building/208-212-east-broadway-building-3/g401,LEFT,3,1.5,1960,"1,250,000.00",3/21/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,05,14,H1405,https://streeteasy.com/building/208-212-east-broadway-building-3/h1405,MIDDLE,1,1,1960,"585,000.00",4/4/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,4,M,04,3,M304,https://streeteasy.com/building/383-387-grand-st-building-4/m304,LEFT,2,2,1960,"1,300,000.00",7/21/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,3,J,07,1,J107,https://streeteasy.com/building/208-212-east-broadway-building-3/j107,RIGHT,2,1,1960,"1,019,500.00",4/7/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,07,19,H1907,https://streeteasy.com/building/208-212-east-broadway-building-3/h1907,MIDDLE,1,1,1960,"750,000.00",5/3/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,03,2,A203,https://streeteasy.com/building/264-268-east-broadway-building-1/a203,LEFT,1,1,1960,"855,000.00",5/16/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,01,12,F1201,https://streeteasy.com/building/413-417-grand-st-building-2/f1201,LEFT,3,1.5,1960,"1,290,000.00",6/22/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,06,18,B1806,https://streeteasy.com/building/264-268-east-broadway-building-1/b1806,MIDDLE,3,1.5,1960,"1,575,007.00",6/23/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,07,7,H707,https://streeteasy.com/building/208-212-east-broadway-building-3/h707,MIDDLE,1,1,1960,"730,000.00",7/18/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,08,10,H1008,https://streeteasy.com/building/208-212-east-broadway-building-3/h1008,MIDDLE,1,1,1960,"775,000.00",7/19/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,3,J,01,16,J1601,https://streeteasy.com/building/208-212-east-broadway-building-3/j1601,RIGHT,1,1,1960,"675,000.00",7/19/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,05,13,A1305,https://streeteasy.com/building/264-268-east-broadway-building-1/a1305,LEFT,2,1,1960,"970,000.00",4/10/2023
